Symbol
INFO
DAL
JPM
WFC
BAC
BLK
FRC
C
ALLY
SLB
SI
BK
GS
JBHT
PNC
STX
CTXS
SCHW
PTSI
CFG
INTC
STT
PG
MS
AA
PLD
UAL
WAL
FUL
UNP
TRV
ISRG
NFLX
MSFT
CHRW
BRO
PCAR
ROK
IBM
GGG
NEP
BOOT
PII
EW
AZPN
FFIV
RLI
URI
COF
CNI
TSLA
JNJ
AXP
GE
