Symbol
AAPL
ADSK
AMZN
AMP
APD
AUDC
BBY
BEEM
BLNK
BURL
CHE
CHPT
CLF
CLFD
CMA
DKS
EVGO
F
FB
GOOG
LOW
M
MELI
NET
NIO
CRM
WDAY
DASH
GM
ALB
RIVN
ABNB
U
CPRT
UPST
DAL
RCL
MGM
BAC
ORCL
APPS
MPWR
TMO
