Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving average,upper_BB,lower_BB,tr0,tr1,tr2,tr,upper_KC,lower_KC,squeeze_on,squeeze_off,value,pct_change,profitable?
2018-10-08,208.64065613453576,208.73921701954163,200.31277265304894,205.2503662109375,5611000,0.0,0,205.2503662109375,,,8.426444366492689,,,8.426444366492689,222.10325494392288,188.39747747795212,0.0,0.0,,,0
2018-10-09,205.05326887654385,207.94093451082156,203.70307191210773,206.72869873046875,5659400,0.0,0,206.02649078369143,,,4.237862598713832,2.690568299884063,1.5472942988297689,4.237862598713832,218.4913414742418,193.56164009314105,0.0,0.0,,0.7202581641252426,1
2018-10-10,206.30491516331455,206.30491516331455,193.17739900719513,193.8475799560547,8455000,0.0,0,201.55446774040433,,,13.127516156119412,0.42378356715420296,13.551299723273615,13.551299723273615,219.3702779459868,183.73865753482187,0.0,0.0,,-6.230929161513455,0
2018-10-11,191.8370576439873,196.84364708479592,190.12221244820844,191.69908142089844,9185200,0.0,0,198.70937008750707,,,6.721434636587475,2.996067128741231,3.7253675078462436,6.721434636587475,215.27105739262964,182.1476827823845,0.0,0.0,,-1.1083442649339803,0
2018-10-12,197.6715213636501,201.87980372749422,196.65639230895928,201.26876831054688,6160300,0.0,0,199.32846673765428,,,5.223411418534937,10.180722306595783,4.957310888060846,10.180722306595783,216.80139622959504,181.85553724571352,0.0,0.0,,4.992035860952848,1
2018-10-15,200.7760002439038,200.85484595151772,196.6465484170979,197.42514038085938,3969200,0.0,0,198.92695181537528,,,4.208297534419813,0.41392235902915786,4.622219893448971,4.622219893448971,214.68231588411962,183.17158774663093,0.0,0.0,,-1.909699136110865,0
2018-10-16,199.75103847941406,205.11242675783043,199.6032121636896,204.77734375,4694900,0.0,0,200.0331161224214,,,5.509214594140843,7.687286376971059,2.178071782830216,7.687286376971059,215.71737416362157,184.34885808122124,0.0,0.0,,3.7240461650209555,1
2018-10-17,204.62948960187592,204.9941378232541,201.73197390151853,204.3831024169922,4431200,0.0,0,200.78503311120562,,,3.262163921735578,0.21679407325410693,3.045369848481471,3.262163921735578,214.90840559152653,186.6616606308847,0.0,0.0,,-0.1925219488583263,0
2018-10-18,203.97902348650032,204.22541067097566,199.33708231414175,200.67742919921875,6264500,0.0,0,200.76777291756545,,,4.8883283568339095,0.1576917460165248,5.046020102850434,5.046020102850434,214.25477929847472,187.2807665366562,0.0,0.0,,-1.8131015597429134,0
2018-10-19,200.9237955287554,204.44221137624277,200.06637302802733,200.12550354003906,4832500,0.0,0,200.67105271446763,,,4.375838348215439,3.764782177024017,0.6110561711914215,4.375838348215439,213.45746536865025,187.88464006028502,0.0,0.0,,-0.2750312585635961,0
