Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving average,upper_BB,lower_BB,tr0,tr1,tr2,tr,upper_KC,lower_KC,squeeze_on,squeeze_off,value,pct_change,profitable?,colors
2018-10-08,153.02000427246094,154.9199981689453,148.33999633789062,150.77999877929688,2739500,0,0,150.77999877929688,,,6.5800018310546875,,,6.5800018310546875,163.94000244140625,137.6199951171875,0.0,0.0,,,0,yellow
2018-10-09,149.83999633789062,153.4499969482422,149.0,150.25,1592400,0,0,150.50174942016602,,,4.4499969482421875,2.6699981689453125,1.779998779296875,4.4499969482421875,161.43031939551943,139.5731794448126,0.0,0.0,,-0.35150469796240147,0,yellow
2018-10-10,149.1699981689453,149.55999755859375,140.39999389648438,140.67999267578125,2542600,0,0,146.8952592251005,,,9.160003662109375,0.69000244140625,9.850006103515625,9.850006103515625,161.03030808272888,132.7602103674721,0.0,0.0,,-6.369389234089018,0,yellow
2018-10-11,139.2899932861328,144.91000366210938,137.67999267578125,140.50999450683594,2169500,0,0,145.0519320257287,,,7.230010986328125,4.230010986328125,3.0,7.230010986328125,159.28018045588502,130.82368359557236,0.0,0.0,,-0.12084033110315584,0,yellow
2018-10-12,145.52999877929688,146.89999389648438,141.07000732421875,143.7100067138672,3529000,0,0,144.72733171232593,,,5.829986572265625,6.3899993896484375,0.5600128173828125,6.3899993896484375,158.60826686115627,130.8463965634956,0.0,0.0,,2.2774267540630833,1,yellow
2018-10-15,146.7899932861328,146.97999572753906,142.86000061035156,144.4600067138672,1626400,0,0,144.6709383483628,,,4.1199951171875,3.269989013671875,0.850006103515625,4.1199951171875,157.37441660212204,131.96746009460355,0.0,0.0,,0.5218843260464734,1,yellow
2018-10-16,145.55999755859375,147.22000122070312,142.97000122070312,146.8300018310547,1859900,0,0,145.07916381221006,,,4.25,2.7599945068359375,1.4900054931640625,4.25,156.99771701942927,133.16061060499084,0.0,0.0,,1.6405890952793323,1,yellow
2018-10-17,146.97999572753906,147.77000427246094,142.75,143.57000732421875,1286700,0,0,144.81829853006633,,,5.0200042724609375,0.94000244140625,4.0800018310546875,5.0200042724609375,156.41674086574488,133.21985619438777,0.0,0.0,,-2.2202509474779863,0,yellow
2018-10-18,143.08999633789062,145.64999389648438,140.9199981689453,142.67999267578125,1748000,0,0,144.47530381523313,,,4.7299957275390625,2.079986572265625,2.6500091552734375,4.7299957275390625,155.73618091119218,133.2144267192741,0.0,0.0,,-0.6199168371062491,0,yellow
2018-10-19,143.47999572753906,144.10000610351562,136.52999877929688,136.77000427246094,2090700,0,0,143.3149524692344,,,7.57000732421875,1.420013427734375,6.149993896484375,7.57000732421875,155.14974935863137,131.48015557983746,0.0,0.0,,-4.142128333823136,0,yellow
