Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving average,upper_BB,lower_BB
2018-10-08,153.02000427246094,154.9199981689453,148.33999633789062,150.77999877929688,2739500,0,0,150.77999877929688,,
2018-10-09,149.83999633789062,153.4499969482422,149.0,150.25,1592400,0,0,150.50174942016602,,
2018-10-10,149.1699981689453,149.55999755859375,140.39999389648438,140.67999267578125,2542600,0,0,146.8952592251005,,
2018-10-11,139.2899932861328,144.91000366210938,137.67999267578125,140.50999450683594,2169500,0,0,145.0519320257287,,
2018-10-12,145.52999877929688,146.89999389648438,141.07000732421875,143.7100067138672,3529000,0,0,144.72733171232593,,
2018-10-15,146.7899932861328,146.97999572753906,142.86000061035156,144.4600067138672,1626400,0,0,144.6709383483628,,
2018-10-16,145.55999755859375,147.22000122070312,142.97000122070312,146.8300018310547,1859900,0,0,145.07916381221006,,
2018-10-17,146.97999572753906,147.77000427246094,142.75,143.57000732421875,1286700,0,0,144.81829853006633,,
2018-10-18,143.08999633789062,145.64999389648438,140.9199981689453,142.67999267578125,1748000,0,0,144.47530381523313,,
2018-10-19,143.47999572753906,144.10000610351562,136.52999877929688,136.77000427246094,2090700,0,0,143.3149524692344,,
2018-10-22,136.47000122070312,140.89999389648438,136.02000427246094,139.9499969482422,1979300,0,0,142.83479745998412,,
2018-10-23,137.2100067138672,137.72000122070312,133.1300048828125,137.42999267578125,2004300,0,0,142.09851087760165,,
2018-10-24,140.8000030517578,140.97000122070312,134.16000366210938,134.2899932861328,1771100,0,0,141.07665679464836,,
2018-10-25,134.30999755859375,138.58999633789062,134.0,137.22000122070312,1664900,0,0,140.5893210927188,,
2018-10-26,134.49000549316406,136.6699981689453,133.13999938964844,134.82000732421875,1712400,0,0,139.88230293231925,,
2018-10-29,136.69000244140625,139.14999389648438,133.9499969482422,135.8800048828125,1726800,0,0,139.40486783666805,,
2018-10-30,135.36000061035156,142.6300048828125,135.1199951171875,142.1300048828125,2120700,0,0,139.72231480887146,,
2018-10-31,143.75,146.60000610351562,140.66000366210938,140.72999572753906,2360600,0,0,139.83725546152817,,
2018-11-01,141.66000366210938,144.64999389648438,138.97000122070312,144.1699981689453,1665000,0,0,140.32233540485495,,
2018-11-02,145.3699951171875,145.4499969482422,140.0399932861328,142.02000427246094,1499300,0,0,140.50927555868168,149.77995772794762,131.23859338941574
2018-11-05,143.27999877929688,143.83999633789062,139.14999389648438,142.1999969482422,1515100,0,0,140.69272143315348,148.8744879808396,132.51095488546736
2018-11-06,141.8300018310547,143.60000610351562,139.9199981689453,141.1300048828125,1402400,0,0,140.73954630179776,147.67595643966507,133.80313616393045
2018-11-07,141.77000427246094,144.55999755859375,139.67999267578125,143.22999572753906,1706400,0,0,141.00310542014157,148.0418692582446,133.96434158203854
2018-11-08,143.27000427246094,143.7899932861328,140.11000061035156,142.27000427246094,1516300,0,0,141.13577377221577,148.20916915566292,134.06237838876862
2018-11-09,141.38999938964844,142.0,136.3800048828125,137.55999755859375,1693400,0,0,140.76483893373833,147.83562522368305,133.6940526437936
2018-11-12,137.27999877929688,138.36000061035156,134.66000366210938,135.4199981689453,1739600,0,0,140.21506101736742,147.36640445722557,133.06371757750927
2018-11-13,135.52999877929688,140.35000610351562,134.64999389648438,138.6999969482422,1835300,0,0,140.06039841761952,146.46604187197437,133.65475496326468
2018-11-14,140.8699951171875,144.07000732421875,138.3800048828125,140.1300048828125,2621600,0,0,140.0674557605447,146.20431624537426,133.93059527571515
2018-11-15,138.3300018310547,139.97999572753906,134.6999969482422,139.8300018310547,1850400,0,0,140.04352768345302,145.99276017253658,134.09429519436947
2018-11-16,138.0800018310547,138.0800018310547,134.35000610351562,134.52999877929688,1788100,0,0,139.49098921231015,145.71814142626803,133.26383699835228
2018-11-19,134.5,135.8800048828125,126.62000274658205,126.98999786376952,2698700,0,0,138.244406138434,146.50145779113348,129.9873544857345
2018-11-20,119.4499969482422,124.9499969482422,118.5199966430664,121.38999938964844,3049400,0,0,136.5712030019113,147.84468040399136,125.29772559983124
2018-11-21,122.19000244140624,124.62999725341795,121.87000274658205,123.87999725341795,1888100,0,0,135.31636150395977,148.11682051548308,122.51590249243645
2018-11-23,122.5,124.01000213623048,120.61000061035156,120.86000061035156,841400,0,0,133.89216997947707,148.63405312559863,119.15028683335552
2018-11-26,122.04000091552734,125.41999816894533,121.87000274658205,123.76000213623048,3322100,0,0,132.89724511827546,148.68063431209558,117.11385592445535
2018-11-27,122.9000015258789,124.33999633789062,121.4000015258789,122.7699966430664,1465000,0,0,131.90573478559304,148.73641427260554,115.07505529858055
2018-11-28,123.94000244140624,129.2899932861328,123.94000244140624,128.99000549316406,2213300,0,0,131.62102905432323,148.33567940653006,114.90637870211638
2018-11-29,128.02999877929688,130.44000244140625,126.83999633789062,129.4600067138672,2087000,0,0,131.41052313408971,148.00425668470902,114.81678958347041
2018-11-30,129.25,133.25999450683594,129.25,132.5500030517578,2660400,0,0,131.52127966965648,147.40917225821036,115.63338708110261
2018-12-03,137.0,140.0800018310547,134.10000610351562,139.88999938964844,3654000,0,0,132.33312042108562,148.00433343214243,116.66190741002882
2018-12-04,139.5,139.5800018310547,131.32000732421875,133.6199951171875,3244300,0,0,132.45773810966244,147.55988026341475,117.35559595591013
2018-12-06,133.0,134.7100067138672,126.55999755859376,131.44000244140625,5622300,0,0,132.3593405378705,146.9560298895425,117.76265118619853
2018-12-07,132.0,136.25999450683594,113.61000061035156,113.87000274658205,8058700,0,0,130.5743178017201,146.42147680034236,114.72715880309784
2018-12-10,113.3499984741211,116.58999633789062,112.37000274658205,115.01000213623048,3938200,0,0,129.0736452906387,145.4809188346242,112.66637174665321
2018-12-11,117.02999877929688,119.93000030517578,115.8000030517578,116.8499984741211,3047000,0,0,127.89646012668669,144.77780088914335,111.01511936423003
2018-12-12,120.20999908447266,123.52999877929688,118.5,122.6500015258789,4589200,0,0,127.39174351395532,144.13600740444207,110.64747962346858
2018-12-13,122.98999786376952,125.8000030517578,118.1500015258789,120.1999969482422,4675300,0,0,126.70055331428978,142.96003741705965,110.4410692115199
2018-12-14,118.43000030517578,122.1500015258789,117.61000061035156,119.12000274658205,2954000,0,0,125.97262943851717,141.33213482768633,110.61312404934802
2018-12-17,119.83000183105467,122.0,117.5,118.87000274658205,3901500,0,0,125.29113470493485,139.45774216968536,111.12452724018432
2018-12-18,120.0199966430664,122.41000366210938,118.37999725341795,119.1999969482422,3708800,0,0,124.70710759026649,138.312837594517,111.10137758601599
2018-12-19,119.5199966430664,120.7699966430664,114.1500015258789,115.70999908447266,2759200,0,0,123.8450064252832,137.86955597897344,109.82045687159297
2018-12-20,114.83000183105467,118.20999908447266,111.33999633789062,115.01000213623048,3271600,0,0,122.99893022355076,137.50786122012548,108.48999922697602
2018-12-21,116.76000213623048,119.75,113.52999877929688,113.73999786376952,5420500,0,0,122.11272307913751,137.21596318452364,107.00948297375136
2018-12-24,112.20999908447266,115.88999938964844,110.70999908447266,113.26000213623048,1627000,0,0,121.26579879727662,136.93357005911807,105.59802753543516
2018-12-26,114.12999725341795,122.73999786376952,114.0999984741211,122.66000366210938,2557300,0,0,121.39912258149458,137.05300870315898,105.74523645983018
2018-12-27,120.63999938964844,124.18000030517578,118.69000244140624,123.33999633789062,1950300,0,0,121.5846505593993,137.24464703293265,105.92465408586594
2018-12-28,124.4000015258789,125.37000274658205,120.63999938964844,121.4000015258789,2167000,0,0,121.56700617985729,136.90609943737616,106.22791292233843
2018-12-31,123.12000274658205,123.33999633789062,120.55999755859376,121.61000061035156,1447300,0,0,121.57111326189458,136.4908881533345,106.65133837045465
2019-01-02,118.88999938964844,124.58999633789062,118.27999877929688,123.3499984741211,2085800,0,0,121.7409939941274,135.7668079629749,107.71518002527989
2019-01-03,121.8499984741211,126.12000274658205,120.31999969482422,124.36000061035156,2896800,0,0,121.99103990160182,133.02283425648,110.95924554672364
2019-01-04,125.8499984741211,129.57000732421875,125.30999755859376,128.5500030517578,2184600,0,0,122.61710009854033,132.53319274974785,112.7010074473328
2019-01-07,129.3300018310547,135.10000610351562,129.3300018310547,134.10000610351562,2860000,0,0,123.71292261236033,134.32167546267155,113.10416976204911
2019-01-08,135.52000427246094,137.17999267578125,133.6699981689453,135.86000061035156,2322600,0,0,124.87190426644352,137.167280841922,112.57652769096504
2019-01-09,137.5,137.50999450683594,134.63999938964844,136.0,3339000,0,0,125.93347737595892,139.50588050388222,112.3610742480356
2019-01-10,131.02999877929688,132.41000366210938,129.5,131.61000061035156,3402100,0,0,126.47490824087805,140.4018979875206,112.5479184942355
2019-01-11,130.97000122070312,133.14999389648438,130.57000732421875,132.16000366210938,2949700,0,0,127.01707940089497,141.5266443339996,112.50751446779034
2019-01-14,136.63999938964844,145.0,135.3800048828125,139.72999572753906,7152000,0,0,128.22931717422026,144.34235433888753,112.11628000955298
2019-01-15,139.36000061035156,141.64999389648438,138.50999450683594,141.1300048828125,2619600,0,0,129.45931628864074,146.97577682856348,111.94285574871799
2019-01-16,142.36000061035156,143.25,141.3699951171875,142.24000549316406,1783500,0,0,130.67774564886318,149.38621449394307,111.96927680378329
2019-01-17,141.72999572753906,146.0399932861328,141.72999572753906,145.13999938964844,3012100,0,0,132.05635295227322,152.10905060763568,112.00365529691075
2019-01-18,147.52000427246094,152.17999267578125,147.07000732421875,152.07000732421875,3277100,0,0,133.9639799666481,155.81878179919016,112.10917813410605
2019-01-22,150.52000427246094,151.66000366210938,148.32000732421875,149.47000122070312,1828200,0,0,135.44184063524114,157.7930809648396,113.09060030564268
2019-01-23,151.42999267578125,151.72999572753906,147.75,149.85000610351562,1602100,0,0,136.8149688374517,158.92796078621186,114.70197688869152
2019-01-24,150.0,150.25999450683594,147.22999572753906,148.42999267578125,2033600,0,0,137.9218339927399,158.85529978787605,116.98836819760375
2019-01-25,150.0,152.80999755859375,148.42999267578125,151.88999938964844,1731700,0,0,139.252867039079,160.59139128107134,117.91434279708669
2019-01-28,150.33999633789062,150.77000427246094,148.6199951171875,149.6999969482422,1417000,0,0,140.24832682173138,161.38998023750642,119.10667340595634
2019-01-29,149.8300018310547,149.92999267578125,147.80999755859375,148.9499969482422,1297400,0,0,141.077430345622,161.25149771222925,120.90336297901473
2019-01-30,150.13999938964844,150.39999389648438,148.22999572753906,148.61000061035156,1380000,0,0,141.79511014036217,160.54536179584989,123.04485848487445
2019-01-31,148.30999755859375,148.92999267578125,146.30999755859375,147.80999755859375,2517100,0,0,142.3681676223342,159.48410902157718,125.25222622309121
