,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
0,QCOM,Qualcomm Inc,2022-04-26T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY
1,QCOM,Qualcomm Inc,2022-02-02T21:00:00.000Z,AMC,3.0,,,EST,-18000000,EQUITY
2,QCOM,QUALCOMM Incorporated,2021-11-03T00:00:00.000Z,TNS,2.26,2.55,12.78,EST,0,EQUITY
3,QCOM,QUALCOMM Incorporated,2021-07-28T00:00:00.000Z,TNS,1.68,1.92,14.29,EST,0,EQUITY
4,QCOM,QUALCOMM Incorporated,2021-04-28T00:00:00.000Z,TNS,1.67,1.9,13.98,EST,0,EQUITY
5,QCOM,QUALCOMM Incorporated,2021-02-03T00:00:00.000Z,TNS,2.1,2.17,3.19,EST,0,EQUITY
6,QCOM,QUALCOMM Incorporated,2020-11-04T00:00:00.000Z,TNS,1.17,1.45,24.04,EST,0,EQUITY
7,QCOM,QUALCOMM Incorporated,2020-07-29T00:00:00.000Z,TNS,0.71,0.86,21.47,EST,0,EQUITY
8,QCOM,QUALCOMM Incorporated,2020-04-29T00:00:00.000Z,TNS,0.78,0.88,12.24,EST,0,EQUITY
9,QCOM,QUALCOMM Incorporated,2020-02-05T00:00:00.000Z,TNS,0.85,0.99,15.93,EST,0,EQUITY
10,QCOM,QUALCOMM Incorporated,2019-11-06T00:00:00.000Z,TNS,0.71,0.78,10.33,EST,0,EQUITY
11,QCOM,QUALCOMM Incorporated,2019-07-31T00:00:00.000Z,TNS,0.75,0.8,6.67,EST,0,EQUITY
12,QCOM,QUALCOMM Incorporated,2019-05-01T00:00:00.000Z,TNS,0.72,0.77,7.69,EST,0,EQUITY
13,QCOM,QUALCOMM Incorporated,2019-01-30T00:00:00.000Z,TNS,1.09,1.2,9.99,EST,0,EQUITY
14,QCOM,QUALCOMM Incorporated,2018-11-07T00:00:00.000Z,TNS,0.83,0.9,8.96,EST,0,EQUITY
15,QCOM,QUALCOMM Incorporated,2018-07-25T00:00:00.000Z,TNS,0.71,1.01,42.66,EST,0,EQUITY
16,QCOM,QUALCOMM Incorporated,2018-04-25T00:00:00.000Z,TNS,0.68,0.8,17.13,EST,0,EQUITY
17,QCOM,QUALCOMM Incorporated,2018-01-31T00:00:00.000Z,TNS,0.91,0.98,7.34,EST,0,EQUITY
18,QCOM,QUALCOMM Incorporated,2017-11-01T00:00:00.000Z,TNS,0.81,0.92,13.44,EST,0,EQUITY
19,QCOM,QUALCOMM Incorporated,2017-07-19T00:00:00.000Z,TNS,0.81,0.83,2.98,EST,0,EQUITY
20,QCOM,QUALCOMM Incorporated,2017-04-19T00:00:00.000Z,TNS,1.2,1.34,12.13,EST,0,EQUITY
21,QCOM,QUALCOMM Incorporated,2017-01-25T00:00:00.000Z,TNS,1.18,1.19,0.76,EST,0,EQUITY
22,QCOM,QUALCOMM Incorporated,2016-11-02T00:00:00.000Z,TNS,1.13,1.28,13.68,EST,0,EQUITY
23,QCOM,QUALCOMM Incorporated,2016-07-20T00:00:00.000Z,TNS,0.97,1.16,19.96,EST,0,EQUITY
24,QCOM,QUALCOMM Incorporated,2016-04-20T00:00:00.000Z,TNS,0.96,1.04,7.88,EST,0,EQUITY
25,QCOM,QUALCOMM Incorporated,2016-01-27T00:00:00.000Z,TNS,0.9,0.97,7.3,EST,0,EQUITY
26,QCOM,QUALCOMM Incorporated,2015-11-04T00:00:00.000Z,TNS,0.86,0.91,5.57,EST,0,EQUITY
27,QCOM,QUALCOMM Incorporated,2015-07-22T00:00:00.000Z,TNS,0.95,0.99,4.65,EST,0,EQUITY
28,QCOM,QUALCOMM Incorporated,2015-04-22T00:00:00.000Z,TNS,1.33,1.4,5.34,EST,0,EQUITY
29,QCOM,QUALCOMM Incorporated,2015-01-28T00:00:00.000Z,TNS,1.25,1.34,6.86,EST,0,EQUITY
30,QCOM,QUALCOMM Incorporated,2014-11-05T00:00:00.000Z,TNS,1.31,1.26,-3.96,EST,0,EQUITY
31,QCOM,QUALCOMM Incorporated,2014-07-23T00:00:00.000Z,TNS,1.22,1.44,18.44,EST,0,EQUITY
32,QCOM,QUALCOMM Incorporated,2014-04-23T00:00:00.000Z,TNS,1.22,1.31,7.26,EST,0,EQUITY
33,QCOM,QUALCOMM Incorporated,2014-01-29T00:00:00.000Z,TNS,1.18,1.01,-14.21,EST,0,EQUITY
34,QCOM,QUALCOMM Incorporated,2013-11-06T00:00:00.000Z,TNS,1.08,1.05,-2.98,EST,0,EQUITY
35,QCOM,QUALCOMM Incorporated,2013-07-24T00:00:00.000Z,TNS,1.03,1.03,-0.08,EST,0,EQUITY
36,QCOM,QUALCOMM Incorporated,2013-04-24T00:00:00.000Z,TNS,1.17,1.17,0.16,EST,0,EQUITY
37,QCOM,QUALCOMM Incorporated,2013-01-30T00:00:00.000Z,TNS,1.13,1.26,11.97,EST,0,EQUITY
38,QCOM,QUALCOMM Incorporated,2012-11-07T00:00:00.000Z,TNS,0.82,0.89,9.09,EST,0,EQUITY
39,QCOM,QUALCOMM Incorporated,2012-07-18T00:00:00.000Z,TNS,0.86,0.85,-1.23,EST,0,EQUITY
40,QCOM,QUALCOMM Incorporated,2012-04-18T00:00:00.000Z,TNS,0.96,1.01,5.69,EST,0,EQUITY
41,QCOM,QUALCOMM Incorporated,2012-02-01T00:00:00.000Z,TNS,0.9,0.97,7.44,EST,0,EQUITY
42,QCOM,QUALCOMM Incorporated,2011-11-02T00:00:00.000Z,TNS,0.78,0.8,2.44,EST,0,EQUITY
43,QCOM,QUALCOMM Incorporated,2011-07-20T00:00:00.000Z,TNS,0.71,0.73,2.99,EST,0,EQUITY
44,QCOM,QUALCOMM Incorporated,2011-04-20T00:00:00.000Z,TNS,0.8,0.86,7.18,EST,0,EQUITY
45,QCOM,QUALCOMM Incorporated,2011-01-26T00:00:00.000Z,TNS,0.72,0.82,14.14,EST,0,EQUITY
46,QCOM,QUALCOMM Incorporated,2010-11-03T00:00:00.000Z,TNS,0.59,0.68,15.64,EST,0,EQUITY
47,QCOM,QUALCOMM Incorporated,2010-07-21T00:00:00.000Z,TNS,0.54,0.57,6.15,EST,0,EQUITY
48,QCOM,QUALCOMM Incorporated,2010-04-21T00:00:00.000Z,TNS,0.56,0.59,4.42,EST,0,EQUITY
49,QCOM,QUALCOMM Incorporated,2010-01-27T00:00:00.000Z,TNS,0.56,0.62,10.78,EST,0,EQUITY
50,QCOM,QUALCOMM Incorporated,2009-11-04T00:00:00.000Z,TNS,0.52,0.64,23.3,EST,0,EQUITY
51,QCOM,QUALCOMM Incorporated,2009-07-22T00:00:00.000Z,TNS,0.52,0.54,3.08,EST,0,EQUITY
52,QCOM,QUALCOMM Incorporated,2009-04-27T00:00:00.000Z,TNS,0.41,0.41,-0.12,EST,0,EQUITY
53,QCOM,QUALCOMM Incorporated,2009-01-28T00:00:00.000Z,TNS,0.47,0.31,-34.32,EST,0,EQUITY
54,QCOM,QUALCOMM Incorporated,2008-11-06T00:00:00.000Z,TNS,0.6,0.63,4.79,EST,0,EQUITY
55,QCOM,QUALCOMM Incorporated,2008-07-23T00:00:00.000Z,TNS,0.55,0.55,0.12,EST,0,EQUITY
56,QCOM,QUALCOMM Incorporated,2008-04-23T00:00:00.000Z,TNS,0.52,0.54,3.85,EST,0,EQUITY
57,QCOM,QUALCOMM Incorporated,2008-01-23T00:00:00.000Z,TNS,0.53,0.52,-1.72,EST,0,EQUITY
58,QCOM,QUALCOMM Incorporated,2007-11-08T00:00:00.000Z,TNS,0.53,0.54,2.32,EST,0,EQUITY
59,QCOM,QUALCOMM Incorporated,2007-07-25T00:00:00.000Z,TNS,0.52,0.55,6.75,EST,0,EQUITY
60,QCOM,QUALCOMM Incorporated,2007-04-25T00:00:00.000Z,TNS,0.48,0.5,3.51,EST,0,EQUITY
61,QCOM,QUALCOMM Incorporated,2007-01-24T00:00:00.000Z,TNS,0.42,0.43,2.17,EST,0,EQUITY
62,QCOM,QUALCOMM Incorporated,2006-11-02T00:00:00.000Z,TNS,0.41,0.42,2.07,EST,0,EQUITY
