,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
0,DAL,Delta Air Lines Inc,2022-07-12T12:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
1,DAL,Delta Air Lines Inc,2022-04-13T12:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
2,DAL,Delta Air Lines Inc,2022-01-13T13:30:00.000Z,BMO,0.13,,,EST,-18000000,EQUITY
3,DAL,"Delta Air Lines, Inc.",2021-10-13T00:00:00.000Z,TNS,0.17,0.3,79.64,EST,0,EQUITY
4,DAL,"Delta Air Lines, Inc.",2021-07-14T00:00:00.000Z,TNS,-1.38,-1.07,22.74,EST,0,EQUITY
5,DAL,"Delta Air Lines, Inc.",2021-04-15T00:00:00.000Z,TNS,-3.17,-3.55,-11.85,EST,0,EQUITY
6,DAL,"Delta Air Lines, Inc.",2021-01-14T00:00:00.000Z,TNS,-2.5,-2.53,-1.2,EST,0,EQUITY
7,DAL,"Delta Air Lines, Inc.",2020-10-13T00:00:00.000Z,TNS,-3.0,-3.3,-10.11,EST,0,EQUITY
8,DAL,"Delta Air Lines, Inc.",2020-07-14T00:00:00.000Z,TNS,-4.07,-4.43,-8.82,EST,0,EQUITY
9,DAL,"Delta Air Lines, Inc.",2020-04-22T00:00:00.000Z,TNS,-0.7,-0.51,26.72,EST,0,EQUITY
10,DAL,"Delta Air Lines, Inc.",2020-01-14T00:00:00.000Z,TNS,1.4,1.7,21.17,EST,0,EQUITY
11,DAL,"Delta Air Lines, Inc.",2019-10-10T00:00:00.000Z,TNS,2.26,2.32,2.52,EST,0,EQUITY
12,DAL,"Delta Air Lines, Inc.",2019-07-11T00:00:00.000Z,TNS,2.29,2.35,2.84,EST,0,EQUITY
13,DAL,"Delta Air Lines, Inc.",2019-04-10T00:00:00.000Z,TNS,0.9,0.96,6.31,EST,0,EQUITY
14,DAL,"Delta Air Lines, Inc.",2019-01-15T00:00:00.000Z,TNS,1.27,1.3,2.44,EST,0,EQUITY
15,DAL,"Delta Air Lines, Inc.",2018-10-11T00:00:00.000Z,TNS,1.74,1.8,3.21,EST,0,EQUITY
16,DAL,"Delta Air Lines, Inc.",2018-07-12T00:00:00.000Z,TNS,1.72,1.77,2.73,EST,0,EQUITY
17,DAL,"Delta Air Lines, Inc.",2018-04-12T00:00:00.000Z,TNS,0.73,0.74,1.51,EST,0,EQUITY
18,DAL,"Delta Air Lines, Inc.",2018-01-11T00:00:00.000Z,TNS,0.88,0.96,9.71,EST,0,EQUITY
19,DAL,"Delta Air Lines, Inc.",2017-10-11T00:00:00.000Z,TNS,1.53,1.57,2.75,EST,0,EQUITY
20,DAL,"Delta Air Lines, Inc.",2017-07-13T00:00:00.000Z,TNS,1.67,1.64,-1.62,EST,0,EQUITY
21,DAL,"Delta Air Lines, Inc.",2017-04-12T00:00:00.000Z,TNS,0.75,0.77,3.36,EST,0,EQUITY
22,DAL,"Delta Air Lines, Inc.",2017-01-12T00:00:00.000Z,TNS,0.82,0.82,-0.12,EST,0,EQUITY
23,DAL,"Delta Air Lines, Inc.",2016-10-13T00:00:00.000Z,TNS,1.65,1.7,3.16,EST,0,EQUITY
