Symbol,,,,,
SPY,,,,,
MSFT,,,,,
AAPL,,,,,
TSLA,,,,,
GOOGL,,,,,
GOOG,,,,,
FB,,,,,
NVDA,,,,,
BRK.B,,,,,
JPM,,,,,
JNJ,,,,,
UNH,,,,,
HD,,,,,
V,,,,,
BAC,,,,,
PG,,,,,
DIS,,,,,
ADBE,,,,,
NFLX,,,,,
CRM,,,,,
MA,,,,,
XOM,,,,,
PYPL,,,,,
TMO,,,,,
PFE,,,,,
CMCSA,,,,,
CSCO,,,,,
ABT,,,,,
ACN,,,,,
PEP,,,,,
