Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving average,upper_BB,lower_BB,m_avg_08,m_avg_21,m_avg_34,m_avg_55,m_avg_89,tr0,tr1,tr2,tr,upper_KC,lower_KC,atr,plus_di,minus_di,adx,squeeze_on,squeeze_off,value,pct_change,profitable?,colors,slow_K,fast_K,rsi_14,Overbought,Oversold,Bullish swing,Bearish swing,Bullish pinbar,Bearish pinbar,Inside bar,Outside bar,Bullish engulfing,Bearish engulfing,pattern,ADX_trend,value_threshold,squeeze_threshold,squeeze_entry,Entry/Exit,buy_price,sell_price,squeeze_signal
2011-12-19,101.13913834109697,101.35457658909931,99.45707762113827,99.67251586914062,183903000,0.0,0,101.37012341136867,106.58449700140177,96.15574982133556,101.02771436910356,101.3742995696985,101.34817841426066,101.2246897896953,101.07212697641376,1.8974989679610417,0.6048970236696221,1.2926019442914196,1.8974989679610417,105.15203605013876,97.58821077259857,1.8296299165873566,21.995205339358385,27.019797846227846,11.978351195807182,0.0,1.0,1.8891521689046415,-1.0691485083975105,0,blue,30.091765165081725,14.503018880855146,50.76470543572534,70,30,False,False,False,False,False,False,False,False,['No pattern'],20,2.296209059877999,1.0,0.0,,,,0.0
2011-12-20,101.23856836825485,102.86262714071744,99.73880113037325,102.6886215209961,225418100,0.0,0,101.49611422013795,106.64851985832527,96.34370858195064,101.39680506906963,101.49430798388364,101.4275489651052,101.28449770014983,101.12186490781119,3.123826010344189,3.1901112715768107,0.0662852612326219,3.1901112715768107,105.51527394351983,97.47695449675608,2.011079469139546,24.000470456055563,22.797963112549414,11.81297920815926,0.0,1.0,2.053071168131189,3.026015371996116,1,cyan,37.045776803435444,60.67209476324388,62.50716129697055,70,30,False,False,False,False,False,False,False,False,['No pattern'],20,2.296209059877999,1.0,0.0,0.0,,,0.0
2011-12-21,102.68861141733342,103.04491040981948,101.71086113481793,102.8874740600586,194230900,0.0,0,101.62902513302248,106.64708478779231,96.61096547825265,101.72806499965164,101.6214647622001,101.51381579083848,101.34965129140335,101.17573056936642,1.3340492750015471,0.3562888888233857,0.9777603861781614,1.3340492750015471,105.52487106844092,97.73317919760404,1.9207863338341724,23.99505358258741,22.139356048083222,11.149690491421302,0.0,1.0,2.0731351814662062,0.19364612760124356,1,cyan,46.52688536432179,64.40554244886636,63.13148145338616,70,30,False,False,False,False,False,False,False,False,['No pattern'],20,2.296209059877999,1.0,0.0,0.0,,,0.0
2011-12-22,103.26864552099826,103.90667248091815,102.93720984084963,103.7989501953125,119465400,0.0,0,101.83624955421533,106.28903898298827,97.38346012544238,102.18826187706922,101.82013572143207,101.64858175603078,101.44871549285986,101.25510275265283,0.9694626400685138,1.0191984208595528,0.04973578079103902,1.0191984208595528,105.56262423276188,98.10987487566878,1.8005487112622427,27.209578642876746,21.9075547376532,10.668099369823407,0.0,1.0,2.1490682581459497,0.88589611474168,1,cyan,68.86536802022364,81.51846684856068,65.93179779138967,70,30,False,False,False,False,False,False,False,False,['No pattern'],20,2.296209059877999,1.0,0.0,0.0,,,0.0
2011-12-23,104.13035745910989,104.76009642042486,103.91492560322783,104.7269515991211,92187200,0.0,0,102.11223519380059,105.79237492740884,98.43209546019233,102.7524153081247,102.0852624581752,101.82979681318308,101.58068241820628,101.35931499304344,0.8451708171970296,0.9611462251123584,0.11597540791532879,0.9611462251123584,105.67406197728351,98.55040841031766,1.6886074812489242,30.570636539774515,21.669961793192392,10.709555409454838,0.0,1.0,2.1396861686188036,0.8940373694169557,1,blue,81.62188724562249,98.94165243944046,68.55087325667878,70,30,False,False,False,False,False,False,False,False,['No pattern'],20,2.296209059877999,1.0,0.0,0.0,,,0.0
2011-12-27,104.54466219440091,105.08325449792035,104.45351551280247,104.809814453125,86075700,0.0,0,102.36972208062808,105.82098096690335,98.91846319435281,103.20961521865425,102.33369073554194,102.0049201749021,101.7100849956687,101.46208539675459,0.6297389851178821,0.3563028987992567,0.27343608631862537,0.6297389851178821,105.72161763481807,99.01782652643809,1.5474021681220638,32.458564130705035,21.93828231966236,11.179249615639955,0.0,1.0,1.9138640668660805,0.0791227594603372,1,blue,91.86665992893677,95.13986049880917,68.78165666669939,70,30,False,False,False,False,False,False,False,False,['No pattern'],20,2.296209059877999,1.0,0.0,0.0,,,0.0
2011-12-28,104.82641559716542,104.84298485162144,103.35150540310745,103.43436431884766,119107100,0.0,0,102.47132170473886,105.49303004608079,99.44961336339692,103.25955947168306,102.43402430307725,102.08878660201941,101.77888297485103,101.52038728991322,1.491479448513985,0.03317039849643777,1.4583090500175473,1.491479448513985,105.78958627916421,99.1530571303135,1.5399447597821359,30.26042089959541,25.620375207615435,11.712087950348522,1.0,0.0,1.5876941266361495,-1.3123295193815054,0,blue,88.2580138461047,70.69252860006448,60.80525922265654,70,30,False,True,False,False,False,False,False,False,['Bearish swing'],20,2.296209059877999,1.0,0.0,0.0,,,0.0
2011-12-29,103.77408414626055,104.61097370599283,103.45921774875039,104.50325775146484,123507200,0.0,0,102.66519356435934,105.79290879856222,99.53747833015646,103.53593690395229,102.62260175354399,102.23022911488906,101.88713127008926,101.60792059069797,1.1517559572424432,1.1766093871451773,0.024853429902734092,1.1766093871451773,105.8955096877702,99.43487744094848,1.4914941552505785,28.988964104235997,24.5438799313116,11.465936532514883,1.0,0.0,1.4144206255930438,1.0334026217072356,1,blue,85.17449756067884,89.69110358316289,64.27269665412474,70,30,True,False,False,False,True,False,False,False,"['Bullish swing', 'Inside bar']",20,2.296209059877999,1.0,0.0,0.0,,,0.0
2011-12-30,104.42037966934848,104.6772504858181,103.98950958251953,103.98950958251953,95599000,0.0,0,102.79152769259119,105.96608374274237,99.61697164244,103.63673084295048,102.74714547821465,102.33314178048104,101.97033123855324,101.67731478985094,0.6877409032985753,0.1739927343532628,0.5137481689453125,0.6877409032985753,105.85284341263463,99.73021197254775,1.3843157663615122,29.32651599206027,24.53738985060219,11.240769164584565,0.0,1.0,1.4466623104621246,-0.49160971628955386,0,cyan,80.31444849260045,80.559713294574,61.4584447771157,70,30,False,False,False,False,False,False,False,False,['No pattern'],20,2.296209059877999,1.0,0.0,0.0,,,0.0
2012-01-03,105.86214381684411,106.37587909258025,105.58870376741704,105.6467056274414,193697900,0.0,0,103.06385661558369,106.47920618825576,99.64850704291162,104.08339194211148,103.01128049895166,102.52671326537376,102.11526144385232,101.79217964485056,0.7871753251632043,2.3863695100607174,1.599194184897513,2.3863695100607174,106.28107419852742,99.84663903263996,1.5179351292564363,32.88123507934869,20.764997787796034,11.141880801852372,0.0,1.0,1.6912468066495252,1.5936184828401645,1,cyan,86.5706009138073,89.46098586368497,66.54685056252266,70,30,False,False,False,True,False,False,False,False,['Bearish pinbar'],20,2.296209059877999,1.0,0.0,0.0,,,0.0
