Symbol
NFLX
AMZN
GOOG
BKNG
ALGN
TSLA
TDG
ADBE
ANTH
AVGO
ASML
AZO
CMG
COHR
CRUS
DGX
ENPH
FTNT
GLOB
INFO
ISRG
MELI
MNDY
MRNS
NTES
POOL
REGN
SAM
SHOP
SNOW
TEAM
TMO
ULTA
UPST
