Symbol
^DJI
DIA
SPY
QQQ
^IXIC
TIP
TLT
DX=F
YM=F
ES=F
NQ=F
^VIX
TVIX
UVXY
CL=F
BTC-USD
ETH-USD
AUDJPY=X
XLE
XLF
XLU
XLI
GDX
XLK
XLV
XLP
XLB
XOP
IYR
XHB
ITB
VNQ
GDXJ
IYE
OIH
XME
XRT
SMH
IBB
KBE
KRE
XTL
